       vid      speed    waitTime  roadId  probability  timestamp
590   317  52.498003  132.186623       6     0.805808         13
614  1928   3.904348   27.893603       6     0.961770         13
636   760   6.796667   38.754711       6     0.796110         13
731   666   5.449634   24.840463       6     0.829570         13
849   744  56.473424  104.102962       6     0.956271         13
888   606   7.659845   29.466928       6     0.819454         13
897  1446  74.614931  143.964506       6     0.992241         13
905   420  81.836138  128.949795       6     0.873318         13



       vid      speed    waitTime  roadId  probability  timestamp
201   1671  24.593091   51.865762       3     0.787174         14
238   1431  63.899360  111.904127       3     0.883155         14
266   1694  70.450500  127.155651       3     0.894691         14
457   1470  30.093764  122.103549       3     0.900648         14
499   1344   2.863493   23.892470       3     0.868981         14
567    566   7.587681   51.722462       3     0.890651         14
660    697   8.531194  122.963266       3     0.818910         14
949   1324  35.202765  127.388783       3     0.892570         14
989   1860  17.917813   44.528152       3     0.857444         14
1064  1280  40.791814  138.999620       3     0.839897         14



       vid      speed    waitTime  roadId  probability  timestamp
255    391  22.761413   92.818001       1     0.819944         15
262   1034  72.146761  111.903854       1     0.886291         15
264    439  14.143663   77.306582       1     0.818152         15
295    335  72.095990  140.040499       1     0.858920         15
436    103  55.390558  117.195641       1     0.914889         15
445     53  11.218464  139.722439       1     0.780534         15
451    698  41.312669  148.618171       1     0.796515         15
488   1652  22.698189   37.922570       1     0.750505         15
496    584   2.117202   11.595487       1     0.763677         15
589   1552  29.151899  130.428084       1     0.771463         15
685   1803  23.222675   91.412159       1     0.963422         15
726    288  84.248344  137.474577       1     0.812735         15
766    785  82.064342  130.152679       1     0.957918         15
869    496  15.696462   32.384996       1     0.818574         15
874    687  28.405982   62.885495       1     0.950931         15
991   1678  15.314689   67.073872       1     0.766835         15
1115  1169  25.480632  131.572099       1     0.996949         15
1152  1776  18.185258   19.316851       1     0.751693         15
1190   497  51.570577  113.660678       1     0.988703         15
1215   745  44.431556  126.872714       1     0.833443         15
1218  1071  43.967088  111.174395       1     0.752209         15
1233  1460   4.910602  132.633367       1     0.828392         15



      vid      speed    waitTime  roadId  probability  timestamp
37   1496  14.551948  130.682349       6     0.896349         16
167   409  79.900501  131.576844       6     0.906527         16



       vid      speed    waitTime  roadId  probability  timestamp
24    1796  24.100788   27.178876       0     0.871180         17
34    1483  24.958202   43.779873       0     0.796875         17
65     703  28.377586    1.634497       0     0.812729         17
205   1661  64.602155  103.005658       0     0.873098         17
295    545  72.815835  127.454229       0     0.820523         17
304    739  28.977336   97.454937       0     0.800654         17
441   1214  48.992822  142.094229       0     0.923539         17
604    891  21.272622  139.532742       0     0.758171         17
694    173  19.055481   39.033830       0     0.956263         17
697    710  21.443046   83.631442       0     0.985307         17
849   1034   7.716074   70.467692       0     0.870459         17
1010  1293  15.327372   85.535205       0     0.886482         17
1041   317  13.448849   24.132955       0     0.842447         17
1075  1100  83.962948  113.377794       0     0.852804         17
1144  1765  53.679967  119.893896       0     0.812182         17
1181  1024  22.571193   87.527942       0     0.825279         17
1183   371   2.234313   15.463462       0     0.762924         17
1187  1527  12.096646   98.824318       0     0.857763         17
1404  1992   7.583709  110.347499       0     0.825861         17
1429   783  56.799687  139.186561       0     0.898952         17
1538    55   0.750179   57.970967       0     0.945798         17
1583   844  15.783553   18.685059       0     0.974388         17
1701  1330  62.417747  148.363594       0     0.955955         17



       vid      speed    waitTime  roadId  probability  timestamp
2     1810  23.049136  126.182512       4     0.969438         18
54    1257  23.539039   23.540744       4     0.918342         18
142    778  10.256364   61.620260       4     0.941599         18
297    930  33.999759  122.948258       4     0.976488         18
609    150  11.951152   46.482801       4     0.862937         18
687     44  56.295567  133.026113       4     0.853424         18
886   1171  29.637600   47.764152       4     0.882063         18
979   1471  22.630983   79.907457       4     0.832774         18
1144   575   2.168314    4.684123       4     0.890065         18
1157   117  62.226102  105.239975       4     0.857912         18
1224  1661   5.180514   58.553006       4     0.793782         18
1251   356  15.778468  132.313189       4     0.810721         18
1321   708   5.278768   88.352456       4     0.895859         18
1385   826  12.254911    0.080930       4     0.893855         18
1445  1191   3.651984   79.906065       4     0.943242         18



       vid      speed    waitTime  roadId  probability  timestamp
27     366  16.821803   86.734394       4     0.874992         19
55       2  26.098357   29.235463       4     0.758258         19
177   1365   6.999904   68.691725       4     0.887043         19
280   1341  37.331292  149.635198       4     0.904743         19
975   1601  10.404697  123.393893       4     0.907512         19
1027  1759  10.105078  101.167346       4     0.841651         19
1212  1594  54.612572  112.904995       4     0.873885         19
1213    70  24.894657  127.096692       4     0.797715         19
1236   990  17.513360   25.026199       4     0.864916         19
1255   715  34.990131  123.709969       4     0.777894         19
1292  1393  11.171995   46.799512       4     0.961771         19
1473  1727  26.635645    2.149415       4     0.755269         19
1528  1057  17.744879   29.650716       4     0.912396         19
1585  1762  31.610492  144.828596       4     0.927036         19
1622  1979  27.092040  121.225797       4     0.771966         19



       vid      speed    waitTime  roadId  probability  timestamp
10     383  77.240851  128.566112       7     0.813918         20
139     96  22.553238    0.424571       7     0.911248         20
227    763  11.201445   94.868189       7     0.956501         20
278    119   3.087560  141.558857       7     0.859131         20
282   1922   1.584592   93.063568       7     0.936730         20
332   1932  53.601090  134.414357       7     0.774177         20
352    155  24.007327    1.562412       7     0.932993         20
425   1680  16.130466  103.734409       7     0.781871         20
454    507  82.648279  124.101887       7     0.775623         20
517    859  25.147971   61.517337       7     0.793420         20
536    172  27.897049   83.294205       7     0.817880         20
723    553  24.758428  127.970148       7     0.777254         20
753   1382   8.242429  105.085293       7     0.898909         20
841    752  18.784224   74.201874       7     0.990378         20
947   1762  58.931459  126.164460       7     0.828612         20
1096   968  16.110897   39.977231       7     0.758015         20
1109   961  35.711586  135.502516       7     0.838789         20
1248  1541   6.617371   40.147514       7     0.796064         20
1355   964  50.976699  101.564897       7     0.773014         20
1363  1523  16.832418   32.728182       7     0.809780         20
1429  1587   5.754831   15.183123       7     0.916817         20
1437   139   1.786646   76.097630       7     0.880685         20
1584   685   0.972183   79.991955       7     0.959013         20



     vid      speed    waitTime  roadId  probability  timestamp
202    3  23.863343  126.797237       9     0.912199         21
207  579   7.548496  142.546099       9     0.802090         21



      vid      speed    waitTime  roadId  probability  timestamp
50    729  21.302349   57.637516       6     0.877674         22
73    457  58.662568  125.634751       6     0.755424         22
125  1799  83.349365  135.219324       6     0.993784         22
185  1582   9.083411   37.510457       6     0.954724         22
429   642  14.344955   42.790833       6     0.773274         22
473  1837  46.345070  117.705718       6     0.798781         22



       vid      speed    waitTime  roadId  probability  timestamp
111   1006  24.783884   88.393721       7     0.803862         23
122   1378  18.175543   59.392182       7     0.760839         23
369   1867   5.828905   23.175465       7     0.925542         23
380    795   9.897905   86.137166       7     0.947035         23
940   1668  23.172517  134.991289       7     0.965200         23
1141   339   1.292086   12.244426       7     0.916661         23
1197   594  24.334034   60.451139       7     0.838890         23
1260     9  43.112116  122.317586       7     0.977088         23
1306   551  26.670913    4.339349       7     0.933247         23
1349  1694  37.173280  145.802791       7     0.893287         23
1370   697   3.537818   29.521217       7     0.948610         23
1396  1473  12.654838   21.480738       7     0.802350         23
1431  1112  11.543637   95.832839       7     0.776750         23



       vid      speed    waitTime  roadId  probability  timestamp
5      873   6.492071  109.435819       5     0.850852         24
53     265   7.186930   57.784881       5     0.802501         24
204   1183  11.245830   17.568067       5     0.764563         24
233     20  46.376248  137.618357       5     0.952436         24
273   1494   0.656610  108.987981       5     0.982130         24
363    775  36.255530  103.777572       5     0.792153         24
370   1158  28.245471   31.014319       5     0.926519         24
390   1017  25.315142  144.764498       5     0.929186         24
391   1100  27.424844   44.806511       5     0.754461         24
475   1538  68.753665  132.776821       5     0.802416         24
512     68  18.033068  110.396543       5     0.885913         24
657   1764  40.372144  113.094254       5     0.760721         24
683    457  65.865103  100.098003       5     0.900123         24
732   1934   1.878304  106.990045       5     0.789096         24
805   1332  66.647924  146.972159       5     0.803946         24
831   1607  25.344884    2.119839       5     0.806299         24
1033   284  44.684070  135.253158       5     0.861536         24
1071  1551  32.069273  121.145813       5     0.764433         24
1200  1358  66.103677  132.111039       5     0.836046         24
1279  1167  63.916606  105.712121       5     0.776850         24
1395  1751  60.838890  142.941045       5     0.971053         24
1489   774  48.732871  115.669157       5     0.997208         24
1513    18  18.466648  146.218557       5     0.828869         24
1536  1785  68.899035  122.240445       5     0.834660         24
1564  1683  28.607671   71.173127       5     0.906971         24
1627   748  17.964434  133.402402       5     0.904467         24
1668   712   7.106887   96.338401       5     0.802222         24
1687   562   4.225542   32.443844       5     0.860085         24
1720  1646  25.484921  147.062095       5     0.785213         24



      vid      speed    waitTime  roadId  probability  timestamp
8    1323  38.918471  131.526370       5     0.864842         25
168  1398  55.156858  101.994251       5     0.810957         25
192  1789  13.165423   36.694466       5     0.991833         25
350  1506  12.181407   62.257558       5     0.759646         25
410   656   5.496273   89.566213       5     0.914625         25
438   356  49.739349  111.744199       5     0.829883         25
446   433  16.368806   89.560887       5     0.758881         25
481   840  36.165135  136.109363       5     0.793405         25
505   676  25.345421   36.011357       5     0.947209         25
547   372  21.198209   46.148250       5     0.815464         25
594   370  19.940403   41.756113       5     0.857435         25
599   354   4.684132  100.016583       5     0.787942         25
600   487  25.577793   26.946330       5     0.782415         25



      vid      speed    waitTime  roadId  probability  timestamp
49    708  38.864958  122.001423       6     0.918453         26
62   1504  23.849459  139.047024       6     0.826616         26
115  1380  26.127110   51.563904       6     0.989861         26
234   441  47.005714  109.385777       6     0.793899         26
247  1271   7.677289   15.862384       6     0.880000         26
280  1049   7.523591   23.052101       6     0.858486         26
355  1557   5.496840   28.264003       6     0.997436         26



      vid      speed    waitTime  roadId  probability  timestamp
39   1722  76.557914  112.259466       8     0.944685         27
260   936  24.765175   66.258291       8     0.904057         27
345   352  58.089253  107.402547       8     0.926490         27
407    65  69.285605  126.437740       8     0.750038         27
459  1623  35.128286  121.471320       8     0.930684         27
491   266  43.706348  134.377248       8     0.990218         27
543  1737  15.274742   30.235080       8     0.954399         27
565  1651  75.600267  147.011908       8     0.766057         27
589   465  85.145327  122.448017       8     0.810584         27
607   464  44.963468  142.739798       8     0.946218         27
612    13  23.964547  115.627197       8     0.942468         27
615  1318  21.288399   29.529814       8     0.764394         27
643  1700   6.392883  113.501876       8     0.918453         27
763  1145  21.099590    6.285811       8     0.879324         27
776  1463  21.187938   10.440540       8     0.807527         27
786  1812  27.620008  120.187854       8     0.992877         27
818   475  58.766777  126.666995       8     0.787916         27
824  1050  14.023034   70.929449       8     0.875944         27
922  1980  36.500596  132.047564       8     0.914027         27
972  1819  87.691230  129.301402       8     0.813266         27
990   597  17.131339   37.986710       8     0.989114         27



     vid      speed    waitTime  roadId  probability  timestamp
55   992  13.986072   96.906830       1     0.861532         28
199   80  67.800780  144.355694       1     0.751507         28



       vid      speed    waitTime  roadId  probability  timestamp
16     113   9.781597   15.645065       2     0.938502         29
27    1201   7.456491  132.415542       2     0.938881         29
148   1231   6.454692   40.372946       2     0.750630         29
253   1330   9.834235   17.626080       2     0.856959         29
326   1416  29.928438   32.956201       2     0.868160         29
431   1327   6.236564   57.927402       2     0.946359         29
479   1458   8.267223   76.753014       2     0.952841         29
483   1066  57.458585  106.753963       2     0.831113         29
643   1882  15.589472   71.076733       2     0.813107         29
669   1642  22.952032   95.913780       2     0.973638         29
770   1363  21.172777    2.503864       2     0.975378         29
774   1464  46.040036  135.579925       2     0.941513         29
783   1731  21.806258  126.137245       2     0.968462         29
798   1907   5.796139  136.727211       2     0.770644         29
915    401  22.784244   69.331262       2     0.935585         29
927    438  26.198621   75.088361       2     0.895002         29
968   1697  35.359814  144.025878       2     0.885360         29
1173   136  80.716558  110.360386       2     0.878300         29
1212   317  22.125358   69.343998       2     0.974813         29
1342    54  57.531655  113.226402       2     0.813904         29
1436   921  16.953770   38.878207       2     0.757398         29
1563   460  24.192200  139.507989       2     0.754971         29
1580  1821  10.414491   18.125025       2     0.943065         29
1834  1261   0.112919   71.394307       2     0.913745         29



       vid      speed    waitTime  roadId  probability  timestamp
37    1563  35.759149  129.322886       7     0.819134         30
374    243   5.574781  138.180386       7     0.839845         30
446    163  47.336500  143.265330       7     0.786273         30
447    757  17.339957    6.608830       7     0.824415         30
466    211  20.632869   47.171841       7     0.982645         30
611    987  11.500179   18.512033       7     0.946246         30
688    635  16.896038  111.409027       7     0.964328         30
739    329  17.424248   94.847261       7     0.804204         30
827    637   1.087777  100.547210       7     0.780072         30
832   1967  58.464596  144.099486       7     0.890709         30
871     64  53.567220  132.920129       7     0.878475         30
889   1013  86.560977  106.539608       7     0.964353         30
961   1947  60.086465  123.116216       7     0.892126         30
1030  1964   5.405765   40.263680       7     0.828367         30
1051   205  24.284316   58.787995       7     0.852856         30
1067  1155   0.162270   74.910783       7     0.784619         30
1071  1189  26.034954   22.602557       7     0.969277         30
1118   253  48.719965  146.439352       7     0.903986         30
1256  1107   7.360378   65.015011       7     0.770692         30
1700   930  11.352564    2.570402       7     0.915047         30



      vid      speed    waitTime  roadId  probability  timestamp
1      72  15.294349   25.726457       5     0.829882         31
44   1904  82.924383  100.005651       5     0.800741         31
137   295  11.486536   62.058033       5     0.889448         31
212  1791  56.976368  101.786974       5     0.844713         31



      vid      speed   waitTime  roadId  probability  timestamp
237  1795  11.461628  50.593965       3     0.924952         32



       vid      speed    waitTime  roadId  probability  timestamp
95     946  75.248842  147.928586       4     0.832598         33
162    739  32.696487  102.438089       4     0.995436         33
194     98  21.116013   38.971576       4     0.990104         33
226   1817  14.445161  136.022889       4     0.916818         33
280    247  85.150494  119.623756       4     0.813157         33
373   1948  21.007857   48.746690       4     0.864497         33
497    744  76.075557  106.214118       4     0.771617         33
507   1124  24.401289   23.688739       4     0.832401         33
687    742  34.635064  134.767142       4     0.777304         33
701     22  53.740721  130.767955       4     0.990815         33
709    270  23.279108   90.091388       4     0.884019         33
826    785  73.901974  139.391571       4     0.937298         33
863   1009   8.046773   78.401137       4     0.812375         33
872   1219  28.174464   87.037030       4     0.912793         33
893    542  25.878672   87.496347       4     0.999152         33
1012   437  24.823351  127.278024       4     0.770692         33
1066   226  20.385921   62.486636       4     0.889488         33
1136   172  26.189643   28.504085       4     0.786865         33
1179  1584  45.310304  110.960030       4     0.943512         33
1327  1165  12.255005   90.632914       4     0.955035         33
1339  1927  40.361316  140.757281       4     0.976006         33
1348  1126  14.869963   34.977754       4     0.891772         33
1395    98  53.763565  125.512638       4     0.937032         33
1439   369  21.825491  132.238259       4     0.975043         33
1498  1436  12.514038   30.944688       4     0.782529         33
1666   396   6.533267   88.151132       4     0.926713         33
1737   460  72.274371  123.947309       4     0.845527         33
1781   108  86.657389  118.748877       4     0.814942         33
1828  1126  78.041213  135.215881       4     0.786170         33



       vid      speed    waitTime  roadId  probability  timestamp
14    1924  25.290312  127.552889       1     0.812800         34
93    1898  47.771463  106.541139       1     0.750954         34
215    931   0.865661   49.078769       1     0.955280         34
241    488  56.701251  101.074392       1     0.947430         34
354    867  13.126431   75.437897       1     0.807074         34
475    627  25.706627  126.665142       1     0.821890         34
538   1226   2.561730   13.209430       1     0.969785         34
557    131  23.652527   42.403625       1     0.907132         34
562     40  39.726175  114.831219       1     0.859984         34
581   1508  75.830216  103.307130       1     0.986910         34
610   1206  12.099039   74.401993       1     0.960278         34
674   1442  22.713658  121.264169       1     0.762235         34
832   1013  84.811682  144.905400       1     0.923342         34
1126  1925  59.724370  147.810612       1     0.810322         34
1313  1135  87.906495  138.010184       1     0.994102         34
1323   505   0.789496  136.912565       1     0.754372         34



       vid      speed    waitTime  roadId  probability  timestamp
333   1182  29.041795   44.166505       4     0.999690         35
689    924  60.138659  147.808727       4     0.803846         35
776    757  17.763035   41.799852       4     0.965125         35
925   1548  86.841052  126.335865       4     0.991240         35
1215  1781  21.275086  139.068493       4     0.964245         35
1281   901  26.164515   52.914283       4     0.912532         35
1306  1927  88.928189  125.821794       4     0.765019         35
1461  1650  10.600481  139.777939       4     0.896000         35



       vid      speed    waitTime  roadId  probability  timestamp
119     37   3.916603   11.668124       4     0.797371         36
277    297  65.499854  122.855428       4     0.753598         36
430   1824  46.661356  131.011239       4     0.991446         36
486    940  15.514230   99.419897       4     0.894753         36
606   1238  25.599911   13.755154       4     0.758651         36
782   1094  18.077274  144.345376       4     0.898311         36
852    408  17.876078   97.278056       4     0.879080         36
972   1220   4.591621  133.797171       4     0.858573         36
1049   765  18.482507  144.003314       4     0.989507         36
1079  1020  27.972332   79.338274       4     0.856079         36
1162   897  27.103599   52.330269       4     0.922969         36
